prop_name,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region,district,facility_count,has_pool,has_gym,additional_facility_count,near_rail,has_ac,cooking_allowed,has_internet,rent
Central Residence @ Sg Besi,Condominium,3.0,2.0,2.0,1121.0,2,"Playground, Barbeque area, Sauna, Multipurpose hall, Security, Swimming Pool, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Sungai Besi,8,1,1,3,0,1,1,0,1750.0
Unio Residence,Apartment,2.0,1.0,2.0,872.0,2,"Minimart, Swimming Pool, Tennis Court, Jogging Track, Security, Playground, Gymnasium, Barbeque area, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,Kepong,10,1,1,4,1,1,1,0,2000.0
Dahlia Apartment (Ampang),Apartment,3.0,0.0,2.0,860.0,0,"Security, Playground, Lift",Cooking Allowed,Kuala Lumpur,Ampang,3,0,0,1,0,0,1,0,1300.0
1 Petaling,Condominium,3.0,1.0,2.0,904.0,1,"Jogging Track, Swimming Pool, Playground, Security, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Sungai Besi,6,1,0,4,1,1,1,0,1100.0
Residensi Seri Wahyu @ Jalan Kuching KL,Apartment,3.0,1.0,2.0,835.0,2,"Jogging Track, Lift, Gymnasium, Squash Court, Minimart, Security, Swimming Pool, Playground, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,KL City,9,1,1,3,0,1,1,0,1300.0
Pangsapuri Seroja,Apartment,3.0,0.0,2.0,750.0,1,Lift,"Near KTM/LRT, Cooking Allowed",Kuala Lumpur,Jinjang,1,0,0,2,1,0,1,0,850.0
Endah Villa,Condominium,3.0,1.0,2.0,1129.0,2,"Security, Squash Court, Swimming Pool, Tennis Court, Playground, Minimart, Barbeque area, Lift, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Sri Petaling,10,1,0,4,1,1,1,0,1400.0
Unio Residence,Service Residence,2.0,1.0,2.0,1132.0,1,"Minimart, Playground, Swimming Pool, Security, Gymnasium, Tennis Court, Lift, Barbeque area, Jogging Track, Multipurpose hall",Air-Cond,Kuala Lumpur,Kepong,10,1,1,1,0,1,0,0,1900.0
Rica Residence Sentul,Condominium,2.0,0.0,1.0,700.0,1,"Security, Swimming Pool, Minimart, Playground, Squash Court, Lift, Gymnasium, Tennis Court, Jogging Track","Near KTM/LRT, Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Sentul,9,1,1,4,1,1,1,0,1700.0
PV9 Residences @ Taman Melati,Service Residence,3.0,2.0,2.0,1000.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur,Setapak,8,1,1,3,1,1,1,0,2100.0
Suasana Lumayan,Condominium,4.0,1.0,2.0,1142.0,1,"Minimart, Sauna, Security, Gymnasium, Playground, Swimming Pool, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur,Cheras,7,1,1,2,0,1,1,0,1550.0
Plaza Prima Setapak,Condominium,4.0,2.0,2.0,1300.0,1,"Security, Lift, Swimming Pool, Playground, Jogging Track","Cooking Allowed, Washing Machine",Kuala Lumpur,Setapak,5,1,0,2,0,0,1,0,1400.0
Residensi Vista Wirajaya,Apartment,3.0,1.0,2.0,884.0,2,"Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall","Near KTM/LRT, Washing Machine, Internet, Cooking Allowed",Kuala Lumpur,Setapak,6,1,0,4,1,0,1,1,1800.0
One Maxim,Service Residence,3.0,1.0,2.0,819.0,1,"Sauna, Barbeque area, Jogging Track, Security, Playground, Swimming Pool, Gymnasium, Multipurpose hall",Cooking Allowed,Kuala Lumpur,Sentul,8,1,1,1,0,0,1,0,1300.0
M Centura,Service Residence,3.0,1.0,2.0,850.0,2,"Security, Lift, Swimming Pool, Gymnasium, Playground","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Sentul,5,1,1,3,1,0,1,0,2500.0
PV9 Residences @ Taman Melati,Service Residence,3.0,2.0,2.0,1000.0,1,"Security, Lift, Swimming Pool, Playground, Jogging Track, Barbeque area","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Setapak,6,1,0,3,1,0,1,0,2300.0
Majestic Maxim,Service Residence,2.0,1.0,1.0,650.0,1,"Gymnasium, Jogging Track, Lift, Barbeque area, Playground, Swimming Pool, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Cheras,7,1,1,5,1,1,1,1,1350.0
